code;label-en_GB;attributes;sort_order
advanced_pricing;Advanced Pricing;cost,minimal_price,msrp,msrp_display_actual_price_type,price_view,special_from_date,special_price,special_to_date,tier_price;100
bundle_items;Bundle Items;shipment_type;200
content;Content;description,short_description;300
design;Design;custom_layout_update,options_container,page_layout;400
gift_options;Gift Options;gift_message_available;500
image_management;Images;gallery,image,media_gallery,small_image,swatch_image,thumbnail;600
product_details;General;activity,category_gear,category_ids,climate,collar,color,country_of_manufacture,created_at,eco_collection,erin_recommends,features_bags,format,gender,has_options,image_label,material,name,new,news_from_date,news_to_date,pattern,performance_fabric,price,price_type,quantity_and_stock_status,required_options,sale,size,sku,sku_type,sleeve,small_image_label,status,strap_bags,style_bags,style_bottom,style_general,tax_class_id,thumbnail_label,twitter_card_image,updated_at,url_path,visibility,weight,weight_type;700
schedule_design_update;Schedule Design Update;custom_design,custom_design_from,custom_design_to,custom_layout;800
search_engine_optimization;Search Engine Optimization;alternative_product_heading,custom_product_canonical_url,discontinued_product_sku,discontinued_redirect,meta_description,meta_keyword,meta_title,twitter_card_description,twitter_card_title,url_key;900
